pid,ppid,name,exe,username,status,create_time,cpu_percent,memory_rss,num_threads,num_fds,cmdline_len,is_system_path,is_temp_path,platform,exe_sha256
26,2,migration/1,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
27,2,ksoftirqd/1,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
28,2,kworker/1:0-events,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
29,2,kworker/1:0H-kblockd,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
30,2,cpuhp/2,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
31,2,idle_inject/2,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
32,2,migration/2,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
33,2,ksoftirqd/2,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
35,2,kworker/2:0H-kblockd,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
36,2,cpuhp/3,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
37,2,idle_inject/3,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
38,2,migration/3,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
39,2,ksoftirqd/3,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
41,2,kworker/3:0H-kblockd,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
42,2,cpuhp/4,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
43,2,idle_inject/4,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
44,2,migration/4,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
45,2,ksoftirqd/4,,root,sleeping,1780306705.11,0.0,0,1,-1,0,0,0,linux,
47,2,kworker/4:0H-i915_cleanup,,root,idle,1780306705.11,0.0,0,1,-1,0,0,0,linux,
